text,label,label_name
"I tried to get money out of the Notting Hill ATM earlier, but wasn't able to. Is my card working okay? It's the first time I tried using it.",9,declined_cash_withdrawal
I could not access my money at the ATM,9,declined_cash_withdrawal
How can I change my password?,19,passcode_forgotten
Is there a problem with your system being down or something? I have already tried 5 times to issue a standard transfer but I'm getting nowhere.,15,failed_transfer
I was charged an extra pound for no reason. Why is that?,14,extra_charge_on_statement
I got less cash because of the exchange rate.,29,wrong_exchange_rate_for_cash_withdrawal
What is the delivery time for US?,5,card_delivery_estimate
What is this €1 fee in my statement?,14,extra_charge_on_statement
I don't know how to verify my identity.,24,verify_my_identity
I am having trouble proving my identity.,23,unable_to_verify_identity
When did you send me my new card?,4,card_arrival
Is there any way I could open an account for my daughter?,1,age_limit
"Even though it's late, I wanted to see about disputing a charge. I was just looking through my transactions over the past couple of months and noticed a pretty large amount that was not completed by me. Is this possibly something I can still do.",11,direct_debit_payment_not_recognised
"I tried to withdraw cash, but got declined!",9,declined_cash_withdrawal
How did you come up with your exchange rates?,13,exchange_rate
I won't verify my identity.,27,why_verify_identity
Why was my cash withdrawal given the wrong exchange rate?,29,wrong_exchange_rate_for_cash_withdrawal
I made a payment that seems to be stuck. It's been a couple of days already. Can you tell me how long it will take?,20,pending_card_payment
The exchange rate for my withdrawal isn't correct and doesn't match the actual exchange rate.,29,wrong_exchange_rate_for_cash_withdrawal
"I am at the ATM and tried to withdraw 30 pounds and it only gave me 10 pounds, what do I do?",28,wrong_amount_of_cash_received
How can I get my physical card to work?,7,card_not_working
How do I get the passcode reset?,19,passcode_forgotten
What is the process for activating my card and using it?,0,activate_my_card
My card was declined at a restaurant today and I don't know what the problem is.,7,card_not_working
Can you give me information about verification code?,25,verify_top_up
what are the reasons I have to proof my identity to you?,27,why_verify_identity
Do exchanges cost more?,12,exchange_charge
"Please help! I was looking at my account and saw a transaction with a seller I don't remember. Is it possible for you to track the sale, because I really don't think I made a payment to them.",11,direct_debit_payment_not_recognised
Please help my find out why there is an odd direct debit in my records.,11,direct_debit_payment_not_recognised
Is there a reason behind why my transfer did not work?,15,failed_transfer
I had to pay one pound more than the set price!,14,extra_charge_on_statement
"If someone in a different country sends me money, do I have to pay a fee?",12,exchange_charge
I am inquiring about a $1 charge on my statement.,14,extra_charge_on_statement
My transfer was rejected,10,declined_transfer
I'm having trouble proving my identity,23,unable_to_verify_identity
Why does my statement show an extra fee?,14,extra_charge_on_statement
What do you charge for an exchange fee?,12,exchange_charge
Why isn't my card working anymore?,7,card_not_working
How can I top up by card?,22,topping_up_by_card
Where can I find a Mastercard ATM?,2,atm_support
Where can I find my PIN? I haven't gotten it yet.,17,get_physical_card
Please help me with my card. It won't activate.,0,activate_my_card
Can I use a different bank ATM than my own?,2,atm_support
How long is a delivery to the US?,5,card_delivery_estimate
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,14,extra_charge_on_statement
How do I know how much money I will have when I travel abroad?,13,exchange_rate
How are your exchange rates calculated?,13,exchange_rate
The exchange rate for my cash withdrawal was incorrect,29,wrong_exchange_rate_for_cash_withdrawal
Do you have an option for auto top up?,3,automatic_top_up
I have an unknown direct debit payment on my account,11,direct_debit_payment_not_recognised
How do I fill out the identity check?,24,verify_my_identity
auto-top up option can be found where?,3,automatic_top_up
Can I be given a new passcode?,19,passcode_forgotten
What needs to be provided for identity verification?,24,verify_my_identity
"I found my card, can I add it to the app?",6,card_linking
How long does it take for me to get my pin,17,get_physical_card
The atm didn't give me all my cash,28,wrong_amount_of_cash_received
"I got less than what i asked for in the ATM, why?",28,wrong_amount_of_cash_received
Why is your exchange rate for my card payment wrong,8,card_payment_wrong_exchange_rate
How can I check for an unsupported merchant for my transfer request?,10,declined_transfer
I need my card to be activated right now.,0,activate_my_card
Tell me what ATMs use this card.,2,atm_support
Why can't I get cash from the ATM?,9,declined_cash_withdrawal
I didn't make the direct debit payment on my account.,11,direct_debit_payment_not_recognised
What is the minimum age required to open an account with your service?,1,age_limit
The card that I have isn't working. This is the physical card.,7,card_not_working
I had the wrong exchange rate applied to some cash I got abroad.,29,wrong_exchange_rate_for_cash_withdrawal
How do I top-up while traveling?,3,automatic_top_up
something is wrong with my exchange rate charge,8,card_payment_wrong_exchange_rate
There is a payment in my app that I did not make. I have not used that card all day Please reimburse my money.,11,direct_debit_payment_not_recognised
My friends would like to add to my account. What is the procedure?,22,topping_up_by_card
I am not able to prove my identity,23,unable_to_verify_identity
"I get a ""decline"" message when doing a transfer",10,declined_transfer
I've made a card payment a couple of days ago now but it looks like the money is stuck. How long does it typically take for the payment to go through?,20,pending_card_payment
How do I link one your card if I have one already?,6,card_linking
Why can't I withdraw cash from this ATM?,9,declined_cash_withdrawal
"What about an auto top-up, is that a option?",3,automatic_top_up
The app does not believe that I am myself,23,unable_to_verify_identity
"Hello, my transfers are getting failed continuously, in spite of the fact that all the recipient details are correct. Please advise.",10,declined_transfer
Is there an age limit to get an account?,1,age_limit
I have a pending payment on my card. Why?,20,pending_card_payment
Why couldn't I get cash from an ATM?,9,declined_cash_withdrawal
"I purchased something while traveling, and the exchange rate applied was wrong.",8,card_payment_wrong_exchange_rate
"Hi, I draw out some money from the ATM today. The ATM has given me wrong amount and the application is displaying more amount than i withdraw.",28,wrong_amount_of_cash_received
"I cant find my card, it's gone.",18,lost_or_stolen_card
How do I activate a new card?,0,activate_my_card
"My Netflix subscription says that there is an issue with my card information, but I thought everything was fine. Why would it be declined?",7,card_not_working
My card got stolen!,18,lost_or_stolen_card
I have made a card payment but it did not completed still showing as pending. Please tell me when it will be completed.,20,pending_card_payment
My transfer appeared not to work.,15,failed_transfer
Why did the bank reject my transfer?,15,failed_transfer
Status of the card I ordered.,4,card_arrival
Can I get money out of any machine?,2,atm_support
Where'd the rest of my cash go from the ATM,28,wrong_amount_of_cash_received
I have an unauthorized charge.,11,direct_debit_payment_not_recognised
